code,n_miss
stock101250,359
stock101251,0
stock101255,27
stock101260,184
stock101264,5
stock101265,1
stock101266,35
stock101270,0
stock101272,224
stock101277,5
stock101279,0
stock101284,1
stock101290,143
stock101293,332
stock101298,33
stock101308,20
stock101309,1
stock101313,0
stock101315,333
stock101317,39
stock101318,2
stock101324,160
stock101336,482
stock101337,12
stock101338,369
stock101340,2
stock101343,41
stock101345,66
stock101349,23
stock101350,7
stock101352,33
stock101356,118
stock101357,85
stock101364,35
stock101367,0
stock101369,126
stock101373,0
stock101381,2
stock101386,91
stock101388,53
stock101391,117
stock101396,68
stock101402,8
stock101405,10
stock101406,116
stock101410,342
stock101412,132
stock101416,44
stock101417,0
stock101420,14
stock101430,60
stock101432,78
stock101446,62
stock101447,13
stock101460,98
stock101470,40
stock101472,0
stock101482,146
stock101484,266
stock101486,250
stock101487,0
stock101488,110
stock101491,0
stock101492,342
stock101498,0
stock101503,45
stock101511,135
stock101514,14
stock101516,149
stock101522,1
stock101532,15
stock101537,86
stock101544,97
stock101547,342
stock101550,40
stock101553,87
stock101564,146
stock101566,202
stock101567,127
stock101572,0
stock101575,90
stock101576,155
stock101581,79
stock101582,0
stock101592,73
stock101595,362
stock101599,28
stock101603,13
stock101612,0
stock101634,209
stock101635,0
stock101636,64
stock101640,2
stock101649,4
stock101652,43
stock101656,225
stock101657,121
stock101662,149
stock101663,399
stock101664,86
stock101665,5
stock101671,86
stock101672,166
stock101690,57
stock101694,5
stock101701,295
stock101702,10
stock101703,430
stock101706,138
stock101709,0
stock101718,117
stock101721,33
stock101722,38
stock101734,87
stock101735,128
stock101736,91
stock101737,327
stock101743,0
stock101745,137
stock101747,0
stock101750,54
stock101754,121
stock101769,129
stock101774,6
stock101776,363
stock101778,137
stock101780,1
stock101784,92
stock101787,10
stock101789,142
stock101800,0
stock101802,182
stock101803,43
stock101807,240
stock101808,0
stock101811,364
stock101814,97
stock101815,5
stock101819,10
stock101825,53
stock101833,0
stock101842,2
stock101859,71
stock101863,82
stock101864,199
stock101869,17
stock101875,250
stock101876,0
stock101880,38
stock101881,174
stock101885,26
stock101894,66
stock101897,109
stock101904,93
stock101906,26
stock101912,381
stock101914,321
stock101916,320
stock101919,77
stock101921,0
stock101922,258
stock101928,209
stock101938,207
stock101942,0
stock101944,129
stock101950,0
stock101952,121
stock101954,5
stock101957,92
stock101961,481
stock101962,39
stock101964,143
stock101965,360
stock101970,34
stock101971,54
stock101974,332
stock101977,380
stock101984,75
stock101986,30
stock101987,127
stock101988,0
stock101989,75
stock101990,0
stock101993,188
stock101994,195
stock102006,58
stock102008,44
stock102011,22
stock102012,209
stock102023,0
stock102027,182
stock102032,332
stock102037,28
stock102039,97
stock102040,119
stock102041,0
stock102042,76
stock102044,117
stock102045,15
stock102047,139
stock102048,16
stock102051,12
stock102052,230
stock102057,23
stock102058,481
stock102063,96
stock102069,25
stock102071,363
stock102076,4
stock102077,27
stock102087,4
stock102095,366
stock102096,10
stock102099,0
stock102103,9
stock102105,20
stock102111,22
stock102113,0
stock102116,55
stock102119,0
stock102122,85
stock102123,77
stock102125,151
stock102134,33
stock102135,95
stock102146,32
stock102147,65
stock102149,1
stock102157,93
stock102161,128
stock102162,61
stock102163,341
stock102164,70
stock102165,40
stock102170,60
stock102173,110
stock102175,6
stock102178,13
stock102179,40
stock102181,11
stock102185,152
stock102187,0
stock102193,0
stock102194,127
stock102195,8
stock102200,297
stock102206,260
stock102209,2
stock102224,266
stock102231,107
stock102234,71
stock102240,94
stock102247,77
stock102257,41
stock102258,0
stock102260,59
stock102262,75
stock102263,350
stock102270,271
stock102276,71
stock102278,110
stock102285,0
stock102286,42
stock102289,0
stock102295,0
stock102302,60
stock102306,337
stock102308,226
stock102314,4
stock102325,281
stock102329,115
stock102336,0
stock102338,143
stock102339,147
stock102341,224
stock102342,386
stock102343,16
stock102344,5
stock102345,12
stock102348,0
stock102350,0
stock102352,1
stock102353,355
stock102364,14
stock102369,241
stock102370,473
stock102380,26
stock102383,10
stock102402,318
stock102405,18
stock102413,9
stock102416,143
stock102417,0
stock102420,14
stock102428,371
stock102435,20
stock102441,97
stock102442,23
stock102445,0
stock102448,116
stock102449,0
stock102450,0
stock102458,58
stock102466,49
stock102470,8
stock102471,32
stock102473,14
stock102474,241
stock102476,44
stock102477,235
stock102478,69
stock102480,122
stock102483,26
stock102484,130
stock102486,128
stock102488,237
stock102489,381
stock102493,258
stock102499,5
stock102500,13
stock102501,411
stock102508,267
stock102511,115
stock102514,28
stock102515,13
stock102528,2
stock102529,5
stock102531,135
stock102541,60
stock102546,0
stock102547,119
stock102550,181
stock102553,161
stock102559,0
stock102561,0
stock102564,97
stock102570,136
stock102582,11
stock102589,173
stock102591,4
stock102596,8
stock102604,22
stock102608,38
stock102609,345
stock102614,8
stock102615,2
stock102616,31
stock102618,134
stock102622,147
stock102625,54
stock102630,3
stock102637,0
stock102652,261
stock102653,63
stock102654,1
stock102655,5
stock102665,0
stock102668,342
stock102670,67
stock102678,155
stock102680,38
stock102692,6
stock102693,314
stock102698,0
stock102699,3
stock102707,0
stock102709,116
stock102715,8
stock102716,0
stock102717,184
stock102718,350
stock102732,12
stock102736,94
stock102737,228
stock102738,0
stock102741,246
stock102749,52
stock102750,21
stock102754,34
stock102757,20
stock102763,398
stock102778,481
stock102781,61
stock102787,15
stock102793,87
stock102799,2
stock102800,0
stock102803,59
stock102805,162
stock102806,88
stock102809,1
stock102813,24
stock102816,140
stock102817,0
stock102822,197
stock102825,4
stock102831,473
stock102833,0
stock102847,29
stock102849,10
stock102854,381
stock102858,0
stock102863,105
stock102866,93
stock102867,271
stock102870,235
stock102876,0
stock102878,381
stock102884,103
stock102886,15
stock102889,24
stock102890,7
stock102891,12
stock102892,70
stock102893,62
stock102894,367
stock102896,22
stock102898,69
stock102902,60
stock102903,214
stock102904,189
stock102909,151
stock102915,64
stock102920,90
stock102923,1
stock102928,12
stock102929,24
stock102930,394
stock102935,14
stock102936,8
stock102938,0
stock102940,11
stock102943,0
stock102944,0
stock102948,144
stock102949,96
stock102950,65
stock102957,62
stock102960,11
stock102962,37
stock102963,123
stock102966,236
stock102968,95
stock102974,277
stock102979,20
stock102980,0
stock102985,139
stock102986,252
stock102998,89
stock103002,348
stock103004,142
stock103006,32
stock103009,9
stock103010,155
stock103019,243
stock103020,0
stock103021,56
stock103027,10
stock103037,12
stock103038,0
stock103040,261
stock103047,18
stock103049,36
stock103050,15
stock103053,134
stock103054,4
stock103057,8
stock103065,83
stock103070,0
stock103081,80
stock103082,8
stock103084,92
stock103088,95
stock103089,1
stock103091,11
stock103098,133
stock103100,23
stock103102,170
stock103103,308
stock103106,70
stock103107,142
stock103108,70
stock103112,21
stock103115,0
stock103121,399
stock103130,6
stock103134,362
stock103141,25
stock103145,262
stock103146,228
stock103147,0
stock103148,32
stock103154,211
stock103161,20
stock103164,118
stock103176,54
stock103178,105
stock103179,62
stock103181,6
stock103185,52
stock103190,20
stock103195,90
stock103204,90
stock103206,135
stock103207,0
stock103208,163
stock103212,74
stock103213,111
stock103216,14
stock103219,0
stock103220,61
stock103224,1
stock103229,168
stock103234,31
stock103240,134
stock103245,122
stock103251,101
stock103255,16
stock103258,32
stock103261,11
stock103264,20
stock103267,186
stock103269,260
stock103271,0
stock103277,158
stock103279,8
stock103282,15
stock103291,265
stock103294,369
stock103296,90
stock103301,373
stock103304,103
stock103306,81
stock103308,8
stock103310,0
stock103311,8
stock103312,4
stock103314,0
stock103319,0
stock103322,33
stock103326,41
stock103334,10
stock103335,472
stock103339,225
stock103340,13
stock103341,0
stock103345,0
stock103347,0
stock103348,108
stock103352,112
stock103354,24
stock103360,37
stock103370,10
stock103371,52
stock103375,267
stock103380,161
stock103390,51
stock103397,4
stock103402,6
stock103403,93
stock103406,7
stock103414,109
stock103416,119
stock103417,24
stock103419,5
stock103430,135
stock103435,0
stock103437,78
stock103441,151
stock103442,76
stock103446,20
stock103448,132
stock103450,230
stock103451,4
stock103454,61
stock103457,6
stock103458,141
stock103460,0
stock103465,25
stock103467,8
stock103472,0
stock103473,4
stock103476,0
stock103484,15
stock103489,127
stock103492,91
stock103502,6
stock103509,0
stock103511,5
stock103512,20
stock103513,2
stock103515,14
stock103516,79
stock103519,142
stock103521,125
stock103522,95
stock103531,28
stock103537,3
stock103540,363
stock103541,6
stock103543,0
stock103544,0
stock103545,146
stock103548,263
stock103549,272
stock103550,120
stock103551,196
stock103557,13
stock103561,379
stock103564,18
stock103565,0
stock103567,4
stock103577,118
stock103578,85
stock103582,0
stock103584,4
stock103603,10
stock103606,15
stock103608,5
stock103612,350
